卫视频道,#genre#
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws
苏州频道,#genre#
苏州新闻综合,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0811&tk=e503191f8e20#https://stream1.freetv.fun/su-zhou-xin-wen-zong-he-13.m3u8#http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7321&tk=b53028476470#https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州社会经济,https://stream1.freetv.fun/su-zhou-she-hui-jing-ji-2.m3u8#https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活,https://stream1.freetv.fun/su-zhou-wen-hua-sheng-huo-2.m3u8#https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州电影娱乐,https://live-auth.51kandianshi.com/szgd/csztv4.m3u8
苏州生活资讯,https://stream1.freetv.fun/su-zhou-sheng-huo-zi-xun-1.m3u8#https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
其他,#genre#
4K TRAVEL,https://streams2.sofast.tv/sofastplayout/33c31ac4-51fa-46ae-afd0-0d1fe5e60a80_0_HLS/master.m3u8
Arirang,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
NEWSMAX2,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
RedBull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8
RT Documentary,https://rt-rtd.rttv.com/dvr/rtdoc/playlist_4500Kb.m3u8
RT News,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
Trace Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
TVBJ1,http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
TVB翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
ViuTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
Wion News,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
力量影院,http://php.jdshipin.com:8880/1905.php?id=1905dy
南国都市,http://php.jdshipin.com/TVOD/iptv.php?id=gzngds
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
港台电视31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
港台电视32,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk32
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳门Macau,http://php.jdshipin.com/TVOD/iptv.php?id=as
环球经典,http://php.jdshipin.com:8880/1905.php?id=1905dy2
美国之音,https://voa-ingest.akamaized.net/hls/live/2033878/tvmc08/playlist.m3u8
